run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20240904-19:36:56-25926,runattr,,,configname,General,,,
General-0-20240904-19:36:56-25926,runattr,,,datetime,20240904-19:36:56,,,
General-0-20240904-19:36:56-25926,runattr,,,experiment,General,,,
General-0-20240904-19:36:56-25926,runattr,,,inifile,omnetpp.ini,,,
General-0-20240904-19:36:56-25926,runattr,,,iterationvars,"$0=0, $1=0",,,
General-0-20240904-19:36:56-25926,runattr,,,iterationvarsf,"0,0-",,,
General-0-20240904-19:36:56-25926,runattr,,,measurement,"$0=0, $1=0",,,
General-0-20240904-19:36:56-25926,runattr,,,network,RandomGrid,,,
General-0-20240904-19:36:56-25926,runattr,,,processid,25926,,,
General-0-20240904-19:36:56-25926,runattr,,,repetition,0,,,
General-0-20240904-19:36:56-25926,runattr,,,replication,#0,,,
General-0-20240904-19:36:56-25926,runattr,,,resultdir,results,,,
General-0-20240904-19:36:56-25926,runattr,,,runnumber,0,,,
General-0-20240904-19:36:56-25926,runattr,,,seedset,0,,,
General-0-20240904-19:36:56-25926,param,,,RandomGrid.poweroff_rate,0,,,
General-0-20240904-19:36:56-25926,param,,,RandomGrid.g_syn_scheme,0,,,
General-0-20240904-19:36:56-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-0-20240904-19:36:56-25926,param,,,RandomGrid.g_ic_num,6,,,
General-0-20240904-19:36:56-25926,param,,,RandomGrid.g_energy_model,0,,,
General-0-20240904-19:36:56-25926,param,,,RandomGrid.sink.node_type,0,,,
General-0-20240904-19:36:56-25926,param,,,RandomGrid.icc.node_type,2,,,
General-0-20240904-19:36:56-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-0-20240904-19:36:56-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-2-20240904-19:36:59-25926,runattr,,,configname,General,,,
General-2-20240904-19:36:59-25926,runattr,,,datetime,20240904-19:36:59,,,
General-2-20240904-19:36:59-25926,runattr,,,experiment,General,,,
General-2-20240904-19:36:59-25926,runattr,,,inifile,omnetpp.ini,,,
General-2-20240904-19:36:59-25926,runattr,,,iterationvars,"$0=0, $1=2",,,
General-2-20240904-19:36:59-25926,runattr,,,iterationvarsf,"0,2-",,,
General-2-20240904-19:36:59-25926,runattr,,,measurement,"$0=0, $1=2",,,
General-2-20240904-19:36:59-25926,runattr,,,network,RandomGrid,,,
