Time [s],Channel 15
0.000000000,0
200.925819680,1
200.925819840,0
201.029956320,1
201.029956480,0
201.033674560,0
201.033674720,0
201.063424480,0
201.063424640,0
201.089457280,0
201.089457440,0
252.152812160,1
252.152812320,0
252.200316320,1
252.200316480,0
252.204055840,0
252.204056000,0
252.247060480,0
252.247060640,0
252.297541280,0
252.297541440,0
252.314368320,1
252.314368480,0
252.370457760,1
252.370457920,0
252.374197440,0
252.374197600,0
252.389152640,0
252.389152800,0
252.473286560,1
252.473286720,0
379.799497920,1
379.799498080,0
379.816223040,0
379.816223200,0
379.853389600,0
379.853389760,0
379.870115200,0
379.870115360,0
379.875690240,0
379.875690400,0
379.938874720,1
379.938874880,0
417.270797600,1
417.270797760,0
417.375281920,1
417.375282080,0
417.406999840,1
417.407000000,0
417.483496320,1
417.483496480,0
417.511483200,1
417.511483360,0
417.541334080,0
417.541334240,0
454.726773920,1
454.726774080,0
454.771342880,1
454.771343040,0
454.786188320,0
454.786188480,0
454.873396800,1
454.873396960,0
454.977305280,1
454.977305440,0
491.811085120,1
491.811085280,0
491.895490240,1
491.895490400,0
491.930800640,1
491.930800800,0
491.986552480,0
491.986552640,0
492.059030880,1
492.059031040,0
492.062748160,0
492.062748320,0
528.916252480,1
528.916252640,0
528.929339680,1
528.929339840,0
528.964858080,0
528.964858240,0
529.174227360,1
529.174227520,0
566.128528960,1
566.128529120,0
566.317357440,1
566.317357600,0
603.093922400,1
603.093922560,0
603.194252000,1
603.194252160,0
603.249991360,1
603.249991520,0
603.357755680,1
603.357755840,0
603.367046240,0
603.367046400,0
640.181325600,1
640.181325760,0
640.181340000,0
640.181340160,0
640.212995840,0
640.212996000,0
640.237180160,1
640.237180320,0
640.274384640,0
640.274384800,0
640.330190560,1
640.330190720,0
640.408317120,1
640.408317280,0
640.479001280,1
640.479001440,0
788.540775360,1
788.540775520,0
788.547104640,0
788.547104800,0
1011.082067040,1
1011.082067200,0
1011.082081440,0
1011.082081600,0
1011.088394880,0
1011.088395040,0
1011.088409280,0
1011.088409440,0
1011.129429440,1
1011.129429600,0
1011.306418080,0
1011.306418240,0
1011.315733760,1
1011.315733920,0
1011.373486240,1
1011.373486400,0
1011.414470880,1
1011.414471040,0
1085.261232640,1
1085.261232800,0
1122.350938720,1
1122.350938880,0
1196.530541280,1
1196.530541440,0
1196.530555680,0
1196.530555840,0
1233.620999360,1
1233.620999520,0
1439.038387680,1
1439.038387840,0
1439.038402080,0
1439.038402240,0
1513.216348320,1
1513.216348480,0
1513.216362720,0
1513.216362880,0
1661.572700000,1
1661.572700160,0
1772.841961600,1
1772.841961760,0
1935.471692640,1
1935.471692800,0
1972.554388960,1
1972.554389120,0
2006.581248000,0
