Time [s],Channel 15
0.000000000,0
239.746880960,1
239.746881120,0
239.746895360,0
239.746895520,0
310.652304160,1
310.652304320,0
346.108349280,1
346.108349440,0
346.108363680,0
346.108363840,0
381.570991200,1
381.570991360,0
417.027973440,1
417.027973600,0
487.934819360,1
487.934819520,0
665.230893920,1
665.230894080,0
771.598014720,1
771.598014880,0
842.513136640,1
842.513136800,0
877.970750720,1
877.970750880,0
948.884970880,1
948.884971040,0
1126.169195680,1
1126.169195840,0
1161.625408800,0
1161.625408960,0
1161.625423200,1
1161.625423360,0
1232.540442880,0
1232.540443040,0
1232.540457280,1
1232.540457440,0
1303.455355680,0
1303.455355840,0
1303.461711360,1
1303.461711520,0
1516.195538240,1
1516.195538400,0
1551.660212000,1
1551.660212160,0
1764.398711360,1
1764.398711520,0
2018.141798400,0
