Time [s],Channel 3
0,0
2752.729043,1
2752.734882,0
2752.737191,1
2752.74303,0
2752.745339,1
2752.751178,0
2752.753488,1
2752.759326,0
2752.761635,1
2752.767473,0
2752.769783,1
2752.778622,0
2752.783851,1
2752.78968,0
2752.792,1
2752.797828,0
2752.800147,1
2752.805976,0
2752.808295,1
2752.814124,0
2752.816443,1
2752.822272,0
2752.82459,1
2752.830419,0
2752.832738,1
2752.838567,0
2752.840886,1
2752.846715,0
2752.849034,1
2752.854863,0
2752.857182,1
2752.863011,0
2752.86533,1
2752.871159,0
2752.873478,1
2752.879307,0
2752.881626,1
2752.887455,0
2768.536894,1
2768.542723,0
2768.545041,1
2768.55087,0
2768.553189,1
2768.559018,0
2768.561337,1
2768.567166,0
2768.569484,1
2768.575313,0
2768.577633,1
2768.583462,0
2768.58578,1
2768.591609,0
2768.593929,1
2768.599758,0
2768.602076,1
2768.607905,0
2768.610224,1
2768.616053,0
2768.618372,1
2768.624201,0
2768.62652,1
2768.632349,0
2768.634668,1
2768.640497,0
2768.642816,1
2768.648645,0
2768.650964,1
2768.656793,0
2768.659112,1
2768.664941,0
2768.66726,1
2768.673089,0
2768.675407,1
2768.681236,0
2768.683555,1
2768.689384,0
2768.691703,1
2768.697532,0
2784.364945,1
2784.370774,0
2784.373093,1
2784.378922,0
2784.381241,1
2784.38707,0
2784.389389,1
2784.395218,0
2784.397536,1
2784.403365,0
2784.405685,1
2784.411514,0
2784.413832,1
2784.419661,0
2784.42198,1
2784.427809,0
2784.430128,1
2784.435957,0
2784.438276,1
2784.444105,0
2784.446424,1
2784.452253,0
2784.454571,1
2784.4604,0
2784.462719,1
2784.468548,0
2784.470868,1
2784.476697,0
2784.479016,1
2784.484844,0
2784.487163,1
2784.492992,0
2784.495311,1
2784.50114,0
2784.503459,1
2784.509288,0
2784.511607,1
2784.517436,0
2784.519754,1
2784.525583,0
2800.223299,1
2800.229128,0
2800.231447,1
2800.237276,0
2800.239595,1
2800.245424,0
2800.247743,1
2800.253572,0
2800.255891,1
2800.26172,0
2800.264039,1
2800.269868,0
2800.272187,1
2800.278016,0
2800.280335,1
2800.286164,0
2800.288483,1
2800.294312,0
2800.296629,1
2800.302458,0
2800.304778,1
2800.310607,0
2800.312926,1
2800.318755,0
2800.321074,1
2800.326903,0
2800.329222,1
2800.335051,0
2800.337369,1
2800.343198,0
2800.345517,1
2800.351346,0
2800.353665,1
2800.359494,0
2800.361813,1
2800.367642,0
2800.36996,1
2800.375789,0
2800.378109,1
2800.383938,0
2816.391181,1
2816.39701,0
2816.399329,1
2816.405158,0
2816.407477,1
2816.413306,0
2816.415624,1
2816.421453,0
2816.423773,1
2816.429602,0
2816.43192,1
2816.437749,0
2816.440068,1
2816.445897,0
2816.448216,1
2816.454045,0
