Time [s],Channel 3
0.000000000,0
609.030724800,1
609.615826880,0
621.001003200,1
621.583047680,0
1583.136788640,1
1583.718833120,0
1594.800819200,1
1595.382863840,0
2183.142881600,1
2183.724926080,0
2195.088751680,1
2195.670796160,0
2337.013615040,1
2337.595665920,0
3930.532885440,1
3931.114929920,0
5092.434490240,1
5093.016534720,0
7433.956339680,1
7434.547577760,0
9363.213547200,1
9363.795604000,0
9374.941595040,1
9375.523651840,0
11105.799486080,1
11106.381530560,0
13315.445898720,1
13316.027943040,0
14390.868621600,1
14391.450666080,0
14402.722468960,1
14403.304513440,0
15894.575591200,1
15895.157635680,0
15906.206923360,1
15906.788967680,0
16562.807784000,1
16563.389828480,0
16574.406835840,1
16574.988880320,0
18172.406783360,1
18172.988827680,0
18184.299707840,1
18184.881752160,0
22069.022309760,1
22069.604354240,0
22080.919334400,1
22081.501378720,0
22426.337483360,1
22426.919527840,0
22438.224455520,1
22438.806512320,0
23354.738052480,1
23355.320096960,0
23366.354234400,1
23366.936291200,0
23733.819455520,1
23734.401512320,0
23745.430292960,1
23746.012349760,0
29009.909268640,1
29010.491325440,0
29021.496285440,1
29022.078342240,0
29493.757219360,1
29494.339276160,0
29505.353807360,1
29505.935864160,0
29800.805916800,1
29801.387973600,0
29812.684385920,1
29813.266442720,0
31242.302832320,1
31242.884889120,0
31254.250559680,1
31254.832616480,0
33806.452812000,1
33807.034868960,0
33818.303145920,1
33818.885202720,0
34976.805740800,1
34977.387797600,0
34988.632660320,1
34989.214717120,0
35579.508940480,1
35580.090997280,0
35591.074745600,1
35591.656802560,0
38080.695278720,1
38081.277335680,0
38092.220916320,1
38092.802973120,0
38978.657926560,1
38979.239983520,0
38990.263522720,1
38990.845579520,0
39202.243455360,1
39202.825512160,0
39214.062096160,1
39214.644152960,0
39719.896905440,1
39720.478962240,0
39731.742834880,1
39732.324891680,0
40824.360736000,1
40824.942792800,0
40836.212272000,1
40836.794328800,0
42518.892958080,1
42519.475015040,0
42530.442439680,1
42531.024496480,0
45483.508879040,1
45484.090935840,0
45495.103892000,1
45495.685948800,0
46812.699912800,1
46813.281969600,0
47208.624584960,1
47209.206641920,0
47220.215549280,1
47220.797606240,0
48157.734996640,1
48158.317053600,0
48657.484059840,1
48658.066116800,0
48669.066351040,1
48669.648408000,0
49503.173444960,1
49503.755501920,0
49514.753976320,1
49515.336033120,0
49618.532433920,0
