Time [s],Channel 3
0.000000000,0
231.684107840,1
232.266164960,0
232.266840000,1
232.830409600,0
232.882760640,1
233.446330240,0
233.447082400,1
234.010652160,0
234.102448640,1
234.666018400,0
234.666770400,1
235.230340160,0
235.322136640,1
235.885706400,0
235.886458400,1
236.450028160,0
236.541824800,1
237.105394400,0
237.106146560,1
237.669716160,0
237.761512800,1
238.325082400,0
238.325834560,1
238.889404160,0
238.981200800,1
239.544770400,0
239.545522560,1
240.109092160,0
240.200888800,1
240.764458400,0
240.765210880,1
241.328780480,0
241.420577120,1
241.984146720,0
241.984898560,1
242.548468160,0
242.640264800,1
243.203834400,0
243.204586560,1
243.768156160,0
243.859952800,1
244.423522400,0
244.424274560,1
244.987844160,0
245.079640800,1
245.643210400,0
245.643962560,1
246.207532160,0
246.299328800,1
246.862898400,0
246.863650560,1
247.427220160,0
247.519016800,1
248.082586400,0
248.083338560,1
248.646908160,0
248.738704800,1
249.302274400,0
249.303026880,1
249.866596480,0
249.958392800,1
250.521962400,0
250.522714560,1
251.086284160,0
251.178080800,1
251.741650400,0
251.742402560,1
252.305972160,0
252.397768800,1
252.961338400,0
252.962090880,1
253.525660480,0
253.617456800,1
254.181026400,0
254.181778880,1
254.745348480,0
254.837145120,1
255.400714720,0
255.401466560,1
255.965036160,0
256.056832800,1
256.620402400,0
256.621154880,1
257.184724480,0
443.150171680,1
443.732228800,0
536.378695520,1
536.960752640,0
536.961624640,1
537.525194240,0
537.622619680,1
538.186189280,0
538.186941120,1
538.750510720,0
538.842307200,1
539.405876800,0
539.406628960,1
539.970198560,0
540.061995200,1
540.625564800,0
540.626316960,1
541.189886560,0
541.281683520,1
541.845253120,0
541.846004960,1
542.409574560,0
542.501371040,1
543.064940640,0
543.065693120,1
543.629262720,0
543.721059360,1
544.284628960,0
544.285380800,1
544.848950400,0
544.940746880,1
545.504316480,0
545.505068960,1
546.068638560,0
546.160434880,1
546.724004480,0
546.724756640,1
547.288326240,0
547.380122880,1
547.943692480,0
547.944444800,1
548.508014400,0
548.599811040,1
549.163380640,0
549.164132800,1
549.727702400,0
549.819499040,1
550.383068640,0
550.383820320,1
550.947389920,0
551.039186880,1
551.602756480,0
551.603508320,1
552.167077920,0
552.258874880,1
552.822444480,0
552.823196480,1
553.386766080,0
553.478562720,1
554.042132320,0
554.042884160,1
554.606453760,0
554.698250400,1
555.261820000,0
555.262572320,1
555.826141920,0
723.339152160,1
723.921209120,0
723.951112160,1
724.514681760,0
724.515433600,1
725.079003200,0
725.170799840,1
725.734369280,0
725.735121760,1
726.298691360,0
726.390488000,1
726.954057600,0
726.954809760,1
727.518379360,0
727.610175840,1
728.173745440,0
728.174497280,1
728.738066880,0
728.829863520,1
729.393433120,0
729.394185440,1
729.957755040,0
735.636386240,1
736.218443200,0
736.219340000,1
736.782909600,0
736.880334720,1
737.443904320,0
737.444656320,1
738.008225920,0
