Time [s],Channel 4,Channel 8
0.000000000,0,0
13.213455040,0,1
13.306890080,0,0
34.998926720,0,1
35.166053280,0,0
47.548971360,0,1
47.707730400,0,0
57.254795520,1,0
57.361874080,0,0
76.158627040,0,1
76.259912800,0,0
511.831310400,0,1
511.932260640,0,0
517.935927360,0,1
518.096188640,0,0
521.078649920,0,1
521.244539520,0,0
524.212494240,0,1
524.377890240,0,0
527.259588320,1,0
527.259588480,0,0
527.615154880,1,0
527.718514560,0,0
530.639934080,0,1
530.749636960,0,0
536.755795360,0,1
536.907617600,0,0
540.058670880,0,1
540.183211680,0,0
558.701747360,0,1
558.960817920,1,1
559.059969920,0,1
559.219996960,0,0
565.275980800,1,0
565.276710560,0,0
568.475302880,0,1
568.582719040,0,0
982.190549920,1,0
982.191385760,0,0
997.485478720,1,0
997.751965280,0,0
1016.530980640,0,1
1016.795205920,0,0
1023.016957920,1,0
1023.118578240,0,0
1032.212498080,0,1
1032.384534720,0,0
1035.511904960,0,1
1035.628013440,0,0
1041.715129760,1,0
1041.715129920,0,0
1044.916142880,0,1
1044.984793440,1,1
1045.038015040,1,0
1045.095004800,0,0
1502.843987680,1,0
1502.943532000,0,0
1518.253678720,0,1
1518.413691200,0,0
1524.555569280,1,0
1524.732195200,0,0
1530.870463040,1,0
1531.054617120,1,1
1531.128999680,0,1
1531.155388160,0,0
1537.070165440,0,1
1537.246077280,0,0
1976.076106240,0,1
1976.240288000,0,0
1985.349393120,1,0
1985.615535200,0,0
1995.054128960,0,1
1995.158659360,0,0
1997.971558080,1,0
1998.242333920,0,0
2001.323094400,0,1
2001.429525920,0,0
2004.460289760,0,1
2004.568803200,0,0
2010.833890880,0,1
2010.950312960,0,0
2017.064683840,1,0
2017.175177120,0,0
2452.863444960,0,1
2452.966121440,0,0
2456.004089920,0,1
2456.097324640,0,0
2459.248563840,1,0
2459.250978560,0,0
2462.272148320,0,1
2462.374705440,0,0
2471.766099040,1,0
2471.869639040,0,0
2480.873139520,1,0
2481.152387360,0,0
2484.223352960,0,1
2484.335535840,0,0
2487.370883200,0,1
2487.473198080,0,0
2496.655268800,1,0
2496.927412960,0,0
2496.980032000,0,1
2497.085119680,0,0
2828.792532800,0,1
2828.792533280,0,0
2828.792533440,0,1
2828.792533600,0,0
2935.757897920,0,1
2935.867863520,0,0
2938.923907680,1,0
2939.034551520,0,0
2951.452676480,0,1
2951.629724480,0,0
2954.590277760,0,1
2954.936887040,0,0
2957.743484320,1,0
2957.841129120,0,0
2960.860300000,0,1
2960.978751680,0,0
2966.947868800,1,0
2966.947868960,0,0
2967.126255520,0,1
2967.227213440,0,0
2970.258426400,0,1
2970.364470080,0,0
2973.427688800,1,0
2973.534410080,0,0
2979.734242080,1,0
2979.843038880,0,0
2979.874360160,0,1
2979.985307840,0,0
2989.298712480,0,1
2989.396693760,0,0
3393.538855520,1,0
3393.539683200,0,0
3428.073832800,0,1
3428.176293600,0,0
3437.325761280,0,1
3437.478302240,0,0
3437.511315200,1,0
3437.614220160,0,0
3443.591750400,0,1
3443.874370400,0,0
