Time [s],Channel 4,Channel 8
0.000000000,0,0
225.643950880,1,0
225.644653920,0,0
228.616685280,0,1
228.725082720,0,0
237.342220960,0,1
237.445034880,0,0
242.880994080,1,0
242.880994240,0,0
251.628882400,0,1
251.953236160,0,0
251.953236800,0,1
251.953237760,0,0
254.532145280,0,1
254.851186560,1,1
254.856253600,1,0
254.945348800,0,0
278.083855360,0,1
278.194624320,0,0
286.893908640,1,0
286.894751680,0,0
289.387079040,0,1
289.387079200,0,0
292.744065600,1,0
292.744810400,0,0
298.613399840,0,1
298.615899840,0,0
643.368110560,1,0
643.368110720,0,0
649.373057920,0,1
649.595540160,0,0
661.210857600,0,1
661.309969120,0,0
669.695952800,0,1
670.027946560,0,0
681.532694400,1,0
681.634195680,0,0
693.214722400,1,0
693.215469920,0,0
693.249189760,0,1
693.354220480,0,0
696.142397600,1,0
696.143240160,0,0
699.063480160,1,0
699.064208160,0,0
1076.172571200,0,1
1076.382351680,0,0
1090.683771200,0,1
1090.899111040,0,0
1093.587437600,1,0
1093.587437760,0,0
1096.742488320,1,0
1096.845987200,0,0
1117.103092160,1,0
1117.202765120,0,0
1122.942655520,1,0
1123.045992800,0,0
1128.848836480,0,1
1128.962535520,0,0
1137.177484960,0,1
1137.177485120,0,0
1137.569572640,1,0
1137.570275040,0,0
1149.248128960,1,0
1149.248854080,0,0
1152.191684160,0,1
1152.194212640,0,0
1511.663341440,0,1
1511.702501120,1,1
1511.702501280,0,1
1511.887629120,0,0
1514.569306880,0,1
1514.890186240,1,1
1514.904368640,1,0
1514.985954400,0,0
1912.133640000,1,0
1912.353631840,0,0
1915.118930720,1,0
1915.118930880,0,0
1921.023455520,0,1
1921.262554880,0,0
1923.883058080,1,0
1923.883058240,0,0
1926.841453920,1,0
1926.841454080,0,0
1926.979311840,1,0
1927.084611520,0,0
1932.637154720,0,1
1932.962541920,0,0
1932.962542880,0,1
1932.962543680,0,0
1935.530830720,1,0
1935.530830880,0,0
1938.444020000,0,1
1938.663385120,0,0
1944.258153120,0,1
1944.483758560,0,0
1947.159438240,0,1
1947.381724640,0,0
