Time [s],Channel 4,Channel 8
0.000000000,0,0
40.910759040,0,1
40.923921280,0,0
40.923922240,0,1
40.923922880,0,0
236.604939200,1,0
236.604939360,0,0
236.621611520,1,0
236.621611680,0,0
245.824210720,1,0
245.826662240,0,0
263.151335680,0,1
263.262216480,0,0
268.762218400,1,0
268.762218560,0,0
269.010870080,1,0
269.118131520,0,0
274.537158720,0,1
274.619173440,1,1
274.619173600,0,1
274.767749920,0,0
274.838473440,1,0
274.951573920,0,0
280.360513440,1,0
280.695868320,0,0
283.283275040,1,0
283.514721920,0,0
286.382028800,0,1
286.486694080,0,0
291.963322880,0,1
292.201320640,0,0
295.193714560,1,0
295.194438400,0,0
312.839488320,0,1
312.842004320,0,0
683.883621600,1,0
683.883621760,0,0
683.896005280,1,0
683.896005440,0,0
698.490177920,0,1
698.720223040,0,0
707.426005600,1,0
707.525637440,0,0
710.429173440,0,1
710.543900640,0,0
719.123938720,1,0
719.124736800,0,0
722.042484320,1,0
722.151317440,0,0
736.687740320,0,1
736.798701920,0,0
1130.993830560,1,0
1131.218179520,0,0
1139.985866240,1,0
1140.094928160,0,0
1142.747555520,0,1
1142.968830880,0,0
1145.648540960,0,1
1145.873316000,0,0
1148.776639520,0,1
1148.887659360,0,0
1151.556089280,1,0
1151.556089440,0,0
1154.605580640,1,0
1154.714509600,0,0
1157.267893440,0,1
1157.493744800,0,0
1163.467094080,1,0
1163.467779680,0,0
1166.391432800,1,0
1166.392166880,0,0
1172.130848320,1,0
1172.237833440,0,0
1178.005723680,0,1
1178.109994240,0,0
1557.798755520,1,0
1558.143333760,0,0
1558.174462080,0,1
1558.283249440,0,0
1572.412347840,1,0
1572.640945920,0,0
1575.379135360,0,1
1575.726003840,0,0
1584.320715680,0,1
1584.423621920,0,0
1587.259822080,0,1
1587.474311360,0,0
1592.797971680,0,1
1593.028016800,0,0
1595.701503680,0,1
1596.019623520,0,0
1598.612592480,0,1
1598.841964800,0,0
1607.315705280,0,1
1607.499804320,1,1
1607.499804480,0,1
1607.574814720,0,0
1607.574815040,0,1
1607.574816000,0,0
1607.574816960,0,1
1607.574818080,0,0
1613.122926880,0,1
1613.464036160,0,0
1613.464036800,0,1
1613.464037760,0,0
1616.356530720,1,0
1616.356530880,0,0
1651.337572800,1,0
1651.337572960,0,0
1674.718228640,1,0
1674.718228800,0,0
1744.896242400,1,0
1744.896242560,0,0
1750.708949280,1,0
1750.708949440,0,0
1750.716012800,1,0
1750.716012960,0,0
1802.068214400,0,1
1802.170964000,0,0
1810.560478720,0,1
1810.896892160,0,0
1810.896893120,0,1
1810.896893760,0,0
1868.845294560,0,1
1868.948144800,0,0
1871.747313440,0,1
1871.855786560,0,0
1877.633996000,1,0
1877.733493120,0,0
1888.946203200,0,1
1889.279567360,0,0
2275.317231360,1,0
2275.422329440,0,0
2301.232599360,0,1
2301.566045440,0,0
2304.106496480,1,0
2304.325045760,0,0
2309.948917120,1,0
2310.271184960,0,0
2313.196811200,1,0
2313.197501760,0,0
2316.091358880,0,1
2316.203965280,0,0
2707.520870720,1,0
2707.855735360,0,0
2722.152807520,1,0
2722.152807680,0,0
2725.346133760,0,1
2725.448768640,0,0
2728.265933120,0,1
2728.381801440,0,0
2736.752511680,0,1
2736.965784320,0,0
2745.742499040,1,0
2745.840188480,0,0
2748.656604000,1,0
2748.767055360,0,0
2748.802189920,0,1
2748.893900800,0,0
2763.302458240,0,1
2763.411371840,0,0
3123.127334240,0,1
3123.252194560,0,0
3137.421408160,0,1
3137.673539200,1,1
3137.742281760,1,0
3137.780340960,0,0
3143.456004800,0,1
3143.559393120,0,0
3149.257710080,0,1
3149.368109280,0,0
3149.368109760,0,1
3149.368110880,0,0
3155.101892800,1,0
3155.209176640,0,0
3157.963897920,0,1
3158.084317120,0,0
3166.680045440,0,1
3166.791038720,0,0
3181.081847040,1,0
3181.306712320,0,0
3184.003834880,1,0
3184.323650720,1,1
3184.332741920,0,1
3184.435972960,0,0
3555.731108320,0,1
3555.841536000,0,0
3564.219265280,0,1
3564.546634720,0,0
3569.891474400,1,0
3569.891474560,0,0
3570.021212320,0,1
3570.259166560,0,0
3575.830441920,0,1
3576.052381440,0,0
3581.644480960,0,1
3581.790105600,1,1
3581.866505280,1,0
3581.893353920,0,0
3587.441043200,0,1
3587.783920960,0,0
3590.327141760,1,0
3590.552617280,0,0
3593.588112480,1,0
3593.700816160,0,0
3602.244390080,1,0
3602.344050080,0,0
3604.868141280,0,1
3604.868141440,0,0
3608.307335040,0,1
3608.309827200,0,0
3622.724912000,0,1
3622.836976160,0,0
4011.160634240,1,0
4011.480948640,0,0
4017.133912160,0,1
4017.456338400,0,0
4022.940549920,0,1
4023.166388160,0,0
4023.267991840,1,0
4023.378565600,0,0
4040.368362240,0,1
4040.600113920,0,0
4043.487815040,0,1
4043.642269760,0,0
4049.292130560,0,1
4049.395086720,0,0
4087.172507360,1,0
4087.172507520,0,0
4093.047694400,1,0
4093.047694560,0,0
4108.775147520,0,0
