Time [s],Channel 15
0.000000000,0
254.051921760,1
254.051921920,0
456.609946240,1
456.609946400,0
456.609960640,0
456.609960800,0
530.784672960,1
530.784673120,0
604.947640480,1
604.947640640,0
604.947654880,0
604.947655040,0
753.308556320,1
753.308556480,0
827.481733760,1
827.481733920,0
975.834795360,1
975.834795520,0
1087.088320160,1
1087.088320320,0
1395.616069280,1
1395.616069440,0
1440.867303520,1
1440.867303680,0
1477.956318720,1
1477.956318880,0
1589.212203840,1
1589.212204000,0
1626.300586400,1
1626.300586560,0
1937.270802880,1
1937.270803040,0
1974.357835520,1
1974.357835680,0
2045.116416000,0
