Time [s],Channel 2,Channel 3,Channel 15
0.000000000,0,0,0
27.158416800,0,0,1
27.160280000,0,0,0
27.162144640,0,0,1
27.164008000,0,0,0
27.165871520,0,0,1
27.167736320,0,0,0
27.169599520,0,0,1
27.171464160,0,0,0
27.173327520,0,0,1
27.175192320,0,0,0
27.177055520,0,0,1
27.178920160,0,0,0
27.180783520,0,0,1
27.182646880,0,0,0
27.184510080,0,0,1
27.186373440,0,0,0
27.188236640,0,0,1
27.190100000,0,0,0
27.191964640,0,0,1
27.193828000,0,0,0
27.195692640,0,0,1
27.197556000,0,0,0
27.199419200,0,0,1
27.201282560,0,0,0
27.203145760,0,0,1
27.205009280,0,0,0
27.206872640,0,0,1
27.208736000,0,0,0
27.210599360,0,0,1
27.212464160,0,0,0
27.214327360,0,0,1
27.216192160,0,0,0
27.218055680,0,0,1
27.219920160,0,0,0
27.221783520,0,0,1
27.223648320,0,0,0
27.225511520,0,0,1
27.227376160,0,0,0
27.229239520,0,0,1
27.231102880,0,0,0
27.232967520,0,0,1
27.234831040,0,0,0
27.236695680,0,0,1
27.238558880,0,0,0
27.240422240,0,0,1
27.242285600,0,0,0
27.244148800,0,0,1
27.246012160,0,0,0
27.247875520,0,0,1
27.249738880,0,0,0
27.251602240,0,0,1
27.253466880,0,0,0
27.255330240,0,0,1
27.257195200,0,0,0
27.259058560,0,0,1
27.260923200,0,0,0
27.262786720,0,0,1
27.264651360,0,0,0
27.266514560,0,0,1
27.268379360,0,0,0
27.270242560,0,0,1
27.272105920,0,0,0
27.273970560,0,0,1
27.275833920,0,0,0
27.277698560,0,0,1
27.279562080,0,0,0
27.281426720,0,0,1
27.283290080,0,0,0
27.285153440,0,0,1
27.287016800,0,0,0
27.288880160,0,0,1
27.290743680,0,0,0
27.292607040,0,0,1
27.294470400,0,0,0
27.296333760,0,0,1
27.298198560,0,0,0
27.300061920,0,0,1
27.301926720,0,0,0
27.303789920,0,0,1
27.305653280,0,0,0
27.307516640,0,0,1
27.309380000,0,0,0
27.311243360,0,0,1
27.313107840,0,0,0
27.314971200,0,0,1
27.316834560,0,0,0
27.318699200,0,0,1
27.320562560,0,0,0
27.322427200,0,0,1
27.324290560,0,0,0
27.326155200,0,0,1
27.328018560,0,0,0
27.329883040,0,0,1
27.331746560,0,0,0
27.333609760,0,0,1
27.335473120,0,0,0
27.337336480,0,0,1
27.339201120,0,0,0
27.341064320,0,0,1
27.342928960,0,0,0
27.344792320,0,0,1
27.346655680,0,0,0
27.348519200,0,0,1
27.350382400,0,0,0
27.352245920,0,0,1
27.354109280,0,0,0
27.355972640,0,0,1
27.357836000,0,0,0
27.359700800,0,0,1
27.361564160,0,0,0
27.363428800,0,0,1
27.365292320,0,0,0
27.367157120,0,0,1
27.369020640,0,0,0
27.370885280,0,0,1
27.372748800,0,0,0
27.374613600,0,0,1
27.376476960,0,0,0
27.378341600,0,0,1
27.380204960,0,0,0
27.382068320,0,0,1
27.383933120,0,0,0
27.385796480,0,0,1
27.387661440,0,0,0
27.389524800,0,0,1
27.391388160,0,0,0
27.393251520,0,0,1
27.395114880,0,0,0
27.396978240,0,0,1
27.398841600,0,0,0
27.400704960,0,0,1
27.402568480,0,0,0
27.404433120,0,0,1
27.406296480,0,0,0
27.408161120,0,0,1
27.410024480,0,0,0
27.411887840,0,0,1
27.413751200,0,0,0
27.415614720,0,0,1
27.417478080,0,0,0
27.419342560,0,0,1
27.421206080,0,0,0
27.423069280,0,0,1
27.424933920,0,0,0
27.426797280,0,0,1
27.428661920,0,0,0
27.430525120,0,0,1
27.432389760,0,0,0
27.434253120,0,0,1
27.436117600,0,0,0
27.437980800,0,0,1
27.439844000,0,0,0
27.441707360,0,0,1
27.443570880,0,0,0
27.445435520,0,0,1
27.447299040,0,0,0
27.449163840,0,0,1
27.451027360,0,0,0
27.452892000,0,0,1
27.454755360,0,0,0
27.456618720,0,0,1
27.458482080,0,0,0
27.460345440,0,0,1
27.462208800,0,0,0
27.464072160,0,0,1
27.465936960,0,0,0
27.467800320,0,0,1
27.469664960,0,0,0
27.471528320,0,0,1
27.473392960,0,0,0
27.475256320,0,0,1
27.477121120,0,0,0
27.478984480,0,0,1
27.480848960,0,0,0
27.482712320,0,0,1
27.484575680,0,0,0
27.486438880,0,0,1
27.488302400,0,0,0
27.490166880,0,0,1
27.492030240,0,0,0
27.493894880,0,0,1
27.495758240,0,0,0
27.497621600,0,0,1
27.499484800,0,0,0
27.501348160,0,0,1
27.503211520,0,0,0
32.842540480,0,1,0
32.844380800,0,0,0
32.846222240,0,1,0
32.848062560,0,0,0
32.849902720,0,1,0
32.851743040,0,0,0
32.853583200,0,1,0
32.855424800,0,0,0
32.857264800,0,1,0
32.859105120,0,0,0
32.860945280,0,1,0
32.862785440,0,0,0
32.862785600,0,1,0
32.862785760,0,0,0
32.864625760,0,1,0
32.866467360,0,0,0
32.868307680,0,1,0
32.870147840,0,0,0
32.871989280,0,1,0
32.873829760,0,0,0
32.875671040,0,1,0
32.877511360,0,0,0
32.879351520,0,1,0
32.881191840,0,0,0
32.883032000,0,1,0
32.884872160,0,0,0
32.886712320,0,1,0
32.888553920,0,0,0
32.890393920,0,1,0
32.892235520,0,0,0
32.894075840,0,1,0
32.895916160,0,0,0
32.897756320,0,1,0
32.899596640,0,0,0
32.901436800,0,1,0
32.903277280,0,0,0
32.905117440,0,1,0
32.906957760,0,0,0
32.908799200,0,1,0
32.910639680,0,0,0
32.912480960,0,1,0
32.914321280,0,0,0
32.916162880,0,1,0
32.918003200,0,0,0
32.919843360,0,1,0
32.921683840,0,0,0
32.923524000,0,1,0
32.925365760,0,0,0
32.927205920,0,1,0
32.929047360,0,0,0
32.929047520,0,1,0
32.929047680,0,0,0
32.930887520,0,1,0
32.932729280,0,0,0
32.934569440,0,1,0
32.936411040,0,0,0
32.938251200,0,1,0
32.940091680,0,0,0
32.941933280,0,1,0
32.943773600,0,0,0
32.945615040,0,1,0
32.947455360,0,0,0
32.949295680,0,1,0
32.951136000,0,0,0
32.952977600,0,1,0
32.954817920,0,0,0
32.956659360,0,1,0
32.958499840,0,0,0
32.960340000,0,1,0
32.962181920,0,0,0
32.964021920,0,1,0
32.965863680,0,0,0
32.967703840,0,1,0
32.969544160,0,0,0
32.971384480,0,1,0
32.973226080,0,0,0
32.975066400,0,1,0
32.976906880,0,0,0
32.978748480,0,1,0
32.980588800,0,0,0
32.982430400,0,1,0
32.984270560,0,0,0
32.986110720,0,1,0
32.987951200,0,0,0
32.989791200,0,1,0
32.991631520,0,0,0
32.993472960,0,1,0
32.995313280,0,0,0
32.997153760,0,1,0
32.998995200,0,0,0
33.000835520,0,1,0
33.002676800,0,0,0
33.004517120,0,1,0
33.006357440,0,0,0
33.008197760,0,1,0
33.010037920,0,0,0
33.011878400,0,1,0
33.013718560,0,0,0
33.015560160,0,1,0
33.017400640,0,0,0
33.019242080,0,1,0
33.021082560,0,0,0
33.022923840,0,1,0
33.024764320,0,0,0
33.026604480,0,1,0
33.028444640,0,0,0
33.030284960,0,1,0
33.032126560,0,0,0
33.033966880,0,1,0
33.035808320,0,0,0
33.037648640,0,1,0
33.039490240,0,0,0
33.041330400,0,1,0
33.043172160,0,0,0
33.045012320,0,1,0
33.046852480,0,0,0
33.048692800,0,1,0
33.050532960,0,0,0
33.052374560,0,1,0
33.054214880,0,0,0
33.056056480,0,1,0
33.057897120,0,0,0
33.059737120,0,1,0
33.061577440,0,0,0
33.063419040,0,1,0
33.065259360,0,0,0
33.067099840,0,1,0
33.068941440,0,0,0
33.070781760,0,1,0
33.072623520,0,0,0
33.072623680,0,1,0
33.072623840,0,0,0
33.074463840,0,1,0
33.076304320,0,0,0
33.078144640,0,1,0
33.079984960,0,0,0
33.081825280,0,1,0
33.083665760,0,0,0
33.085507360,0,1,0
33.087347840,0,0,0
33.089189440,0,1,0
33.091029920,0,0,0
33.092870240,0,1,0
33.094710560,0,0,0
33.096551040,0,1,0
33.098391520,0,0,0
33.100231840,0,1,0
33.102072160,0,0,0
33.103912480,0,1,0
33.105754400,0,0,0
33.107594720,0,1,0
33.109436320,0,0,0
33.111276640,0,1,0
33.113118240,0,0,0
33.114958400,0,1,0
33.116798880,0,0,0
33.118639040,0,1,0
33.120479520,0,0,0
33.122321120,0,1,0
33.124161440,0,0,0
33.126003040,0,1,0
33.127843360,0,0,0
33.129685120,0,1,0
33.131525600,0,0,0
33.133366880,0,1,0
33.135207200,0,0,0
33.137047360,0,1,0
33.138889120,0,0,0
33.140729280,0,1,0
33.142570880,0,0,0
33.144411040,0,1,0
33.146251520,0,0,0
33.148091680,0,1,0
33.149933280,0,0,0
33.151773600,0,1,0
33.153615040,0,0,0
33.155455200,0,1,0
33.157295360,0,0,0
33.159136800,0,1,0
33.160977120,0,0,0
33.160977280,0,1,0
33.160977440,0,0,0
33.162818560,0,1,0
33.164658720,0,0,0
33.166499040,0,1,0
33.168339200,0,0,0
33.170180640,0,1,0
33.172020960,0,0,0
33.173861120,0,1,0
33.175703040,0,0,0
33.177543200,0,1,0
33.179384800,0,0,0
33.179384960,0,1,0
33.179385120,0,0,0
33.181225120,0,1,0
33.183065440,0,0,0
33.184905760,0,1,0
33.186746080,0,0,0
33.188586400,0,1,0
33.190421600,0,0,0
62.614140480,0,0,1
62.616008640,0,0,0
62.617876800,0,0,1
62.619744800,0,0,0
62.621612960,0,0,1
62.623482560,0,0,0
62.625350560,0,0,1
62.627219840,0,0,0
62.629088000,0,0,1
62.630957440,0,0,0
62.632825600,0,0,1
62.634695040,0,0,0
62.636563040,0,0,1
62.638431200,0,0,0
62.640299360,0,0,1
62.642168640,0,0,0
62.644036640,0,0,1
62.645904800,0,0,0
62.647774080,0,0,1
62.649642080,0,0,0
62.651511520,0,0,1
62.653379680,0,0,0
62.655249120,0,0,1
62.657117120,0,0,0
62.658985120,0,0,1
62.660853280,0,0,0
62.662722560,0,0,1
62.664590720,0,0,0
62.666458720,0,0,1
62.668328320,0,0,0
62.670196320,0,0,1
62.672065760,0,0,0
62.673933760,0,0,1
62.675803200,0,0,0
62.677671200,0,0,1
62.679539200,0,0,0
62.681407200,0,0,1
62.683276640,0,0,0
62.685144640,0,0,1
62.687012640,0,0,0
62.688880640,0,0,1
62.690748640,0,0,0
62.692618080,0,0,1
62.694486080,0,0,0
62.696355520,0,0,1
62.698223840,0,0,0
62.700091680,0,0,1
62.701959840,0,0,0
62.703829120,0,0,1
62.705697280,0,0,0
62.707565440,0,0,1
62.709433600,0,0,0
62.711301600,0,0,1
62.713171040,0,0,0
62.715039200,0,0,1
62.716908640,0,0,0
62.718776800,0,0,1
62.720644800,0,0,0
62.722512960,0,0,1
62.724382240,0,0,0
62.726250240,0,0,1
62.728118240,0,0,0
62.729986240,0,0,1
62.731854400,0,0,0
62.733723840,0,0,1
62.735591840,0,0,0
62.737461280,0,0,1
62.739329600,0,0,0
62.741199040,0,0,1
62.743067040,0,0,0
62.744936480,0,0,1
62.746804640,0,0,0
62.748672960,0,0,1
62.750541120,0,0,0
62.752409280,0,0,1
62.754277440,0,0,0
62.756145600,0,0,1
62.758015200,0,0,0
62.759883360,0,0,1
62.761752960,0,0,0
62.763621120,0,0,1
62.765490560,0,0,0
62.767358560,0,0,1
62.769226880,0,0,0
62.771095040,0,0,1
62.772963200,0,0,0
62.774831360,0,0,1
62.776699680,0,0,0
62.778569120,0,0,1
62.780437280,0,0,0
62.782306880,0,0,1
62.784175040,0,0,0
62.786043200,0,0,1
62.787911360,0,0,0
62.789780640,0,0,1
62.791648960,0,0,0
62.793517120,0,0,1
62.795385280,0,0,0
62.797253440,0,0,1
62.799122720,0,0,0
62.800990880,0,0,1
62.802860320,0,0,0
62.804728480,0,0,1
62.806597760,0,0,0
62.808465920,0,0,1
62.810335040,0,0,0
62.812203200,0,0,1
62.814071360,0,0,0
62.815939360,0,0,1
62.817808800,0,0,0
62.819676800,0,0,1
62.821544960,0,0,0
62.823414400,0,0,1
62.825282400,0,0,0
62.827151680,0,0,1
62.829019680,0,0,0
62.830888480,0,0,1
62.832756800,0,0,0
62.834624800,0,0,1
62.836492800,0,0,0
62.838362240,0,0,1
62.840230400,0,0,0
62.842098400,0,0,1
62.843967840,0,0,0
62.845835840,0,0,1
62.847705280,0,0,0
62.849573280,0,0,1
62.851442880,0,0,0
62.853310880,0,0,1
62.855179040,0,0,0
62.857047040,0,0,1
62.858916320,0,0,0
62.860784320,0,0,1
62.862652640,0,0,0
62.864520640,0,0,1
62.866388640,0,0,0
62.868258080,0,0,1
62.870126240,0,0,0
62.871995520,0,0,1
62.873863680,0,0,0
62.875731680,0,0,1
62.877599840,0,0,0
62.879469280,0,0,1
62.881337280,0,0,0
62.883205280,0,0,1
62.885073440,0,0,0
62.886941600,0,0,1
62.888811040,0,0,0
62.890679040,0,0,1
62.892548320,0,0,0
62.894416320,0,0,1
62.896284480,0,0,0
62.898152480,0,0,1
62.900021920,0,0,0
62.901889920,0,0,1
62.903757920,0,0,0
62.905625920,0,0,1
62.907493920,0,0,0
62.909363360,0,0,1
62.911231520,0,0,0
62.913100800,0,0,1
62.914968800,0,0,0
62.916838080,0,0,1
62.918706240,0,0,0
62.920575520,0,0,1
62.922443520,0,0,0
62.924311520,0,0,1
62.926179680,0,0,0
62.928048800,0,0,1
62.929916960,0,0,0
62.931784960,0,0,1
62.933654400,0,0,0
62.935522400,0,0,1
62.937391840,0,0,0
62.939259840,0,0,1
62.941129120,0,0,0
62.942997120,0,0,1
62.944865280,0,0,0
62.946733280,0,0,1
62.948602880,0,0,0
62.950470720,0,0,1
62.952338880,0,0,0
62.954208320,0,0,1
62.956076320,0,0,0
62.957945600,0,0,1
62.959813920,0,0,0
68.939835040,0,1,0
68.941669280,0,0,0
68.943503680,0,1,0
68.945338080,0,0,0
68.947172480,0,1,0
68.949008000,0,0,0
68.950842400,0,1,0
68.952678240,0,0,0
68.954512480,0,1,0
68.956346720,0,0,0
68.956346880,0,1,0
68.956347040,0,0,0
68.958180960,0,1,0
68.960015520,0,0,0
68.961849760,0,1,0
68.963684160,0,0,0
68.965518560,0,1,0
68.967352960,0,0,0
68.969188640,0,1,0
68.971022880,0,0,0
68.972858400,0,1,0
68.974692640,0,0,0
68.976527040,0,1,0
68.978361440,0,0,0
68.980195680,0,1,0
68.982029920,0,0,0
68.982030080,0,1,0
68.982030240,0,0,0
68.983864160,0,1,0
68.985699840,0,0,0
68.987534080,0,1,0
68.989369760,0,0,0
68.991204000,0,1,0
68.993038240,0,0,0
68.994872640,0,1,0
68.996707200,0,0,0
68.998541280,0,1,0
69.000375520,0,0,0
69.002211200,0,1,0
69.004045760,0,0,0
69.005881280,0,1,0
69.007715840,0,0,0
69.009549760,0,1,0
69.011384000,0,0,0
69.013218400,0,1,0
69.015052640,0,0,0
69.016886880,0,1,0
69.018722560,0,0,0
69.020556800,0,1,0
69.022392320,0,0,0
69.024226560,0,1,0
69.026060960,0,0,0
69.027895040,0,1,0
69.029729280,0,0,0
69.031563520,0,1,0
69.033397760,0,0,0
69.035231840,0,1,0
69.037066400,0,0,0
69.038901760,0,1,0
69.040736160,0,0,0
69.042570560,0,1,0
69.044404800,0,0,0
69.046239200,0,1,0
69.048073600,0,0,0
69.049907840,0,1,0
69.051742240,0,0,0
69.053576480,0,1,0
69.055412160,0,0,0
69.057246560,0,1,0
69.059082240,0,0,0
69.060916480,0,1,0
69.062750880,0,0,0
69.064585120,0,1,0
69.066419520,0,0,0
69.068253920,0,1,0
69.070088160,0,0,0
69.071923840,0,1,0
69.073758240,0,0,0
69.075593760,0,1,0
69.077428160,0,0,0
69.079263360,0,1,0
69.081097600,0,0,0
69.082932000,0,1,0
69.084766240,0,0,0
69.086600320,0,1,0
69.088435840,0,0,0
69.090270080,0,1,0
69.092105760,0,0,0
69.093940000,0,1,0
69.095775680,0,0,0
69.097609600,0,1,0
69.099444960,0,0,0
69.099445120,0,1,0
69.099445280,0,0,0
69.101279200,0,1,0
69.103113440,0,0,0
69.104947680,0,1,0
69.106781920,0,0,0
69.108617440,0,1,0
69.110451680,0,0,0
69.112287200,0,1,0
69.114121600,0,0,0
69.115956960,0,1,0
69.117791200,0,0,0
69.119626560,0,1,0
69.121460800,0,0,0
69.123295040,0,1,0
69.125130720,0,0,0
69.126964800,0,1,0
69.128800480,0,0,0
69.130634720,0,1,0
69.132470240,0,0,0
69.134304480,0,1,0
69.136140160,0,0,0
69.137974400,0,1,0
69.139808800,0,0,0
69.141644320,0,1,0
69.143478720,0,0,0
69.145314400,0,1,0
69.147148800,0,0,0
69.148982880,0,1,0
69.150817280,0,0,0
69.152652640,0,1,0
69.154487040,0,0,0
69.156321280,0,1,0
69.158156960,0,0,0
69.158157120,0,1,0
69.158157280,0,0,0
69.159991200,0,1,0
69.161826720,0,0,0
69.163660800,0,1,0
69.165495040,0,0,0
69.167329440,0,1,0
69.169163840,0,0,0
69.170998240,0,1,0
69.172833600,0,0,0
69.174667840,0,1,0
69.176502240,0,0,0
69.178337760,0,1,0
69.180172000,0,0,0
69.182006400,0,1,0
69.183840800,0,0,0
69.185675040,0,1,0
69.187509280,0,0,0
69.189344800,0,1,0
69.191179040,0,0,0
69.193013280,0,1,0
69.194848800,0,0,0
69.196683040,0,1,0
69.198518560,0,0,0
69.200352800,0,1,0
69.202186880,0,0,0
69.204021280,0,1,0
69.205855840,0,0,0
69.207689760,0,1,0
69.209524000,0,0,0
69.211359520,0,1,0
69.213193760,0,0,0
69.215029280,0,1,0
69.216863680,0,0,0
69.218697920,0,1,0
69.220532160,0,0,0
69.222366400,0,1,0
69.224200480,0,0,0
69.226034880,0,1,0
69.227870400,0,0,0
69.229704640,0,1,0
69.231540320,0,0,0
69.231540480,0,1,0
69.231540640,0,0,0
69.233374720,0,1,0
69.235208960,0,0,0
69.237043360,0,1,0
69.238877760,0,0,0
69.240712000,0,1,0
69.242546240,0,0,0
69.244381920,0,1,0
69.246216320,0,0,0
69.246216480,0,1,0
69.246216640,0,0,0
69.248052000,0,1,0
69.249886400,0,0,0
69.251720640,0,1,0
69.253554880,0,0,0
69.255389280,0,1,0
69.257223520,0,0,0
69.259057920,0,1,0
69.260892320,0,0,0
69.262726560,0,1,0
69.264562080,0,0,0
69.266396480,0,1,0
69.268232160,0,0,0
69.270066240,0,1,0
69.271900480,0,0,0
69.273734720,0,1,0
69.275569120,0,0,0
69.277403360,0,1,0
69.279237600,0,0,0
69.281073120,0,1,0
69.282907520,0,0,0
69.284743040,0,1,0
69.286577440,0,0,0
98.069733920,0,0,1
98.071586880,0,0,0
98.073441280,0,0,1
98.075294400,0,0,0
98.077147520,0,0,1
98.079001920,0,0,0
98.080855040,0,0,1
98.082709440,0,0,0
98.084562560,0,0,1
98.086416960,0,0,0
98.088270080,0,0,1
98.090123200,0,0,0
98.091976320,0,0,1
98.093830560,0,0,0
98.095683520,0,0,1
98.097536480,0,0,0
98.099390880,0,0,1
98.101244000,0,0,0
98.103098240,0,0,1
98.104951360,0,0,0
98.106805760,0,0,1
98.108658880,0,0,0
98.110511840,0,0,1
98.112364960,0,0,0
98.114219200,0,0,1
98.116072480,0,0,0
98.117925600,0,0,1
98.119780000,0,0,0
98.121633280,0,0,1
98.123487840,0,0,0
98.125340960,0,0,1
98.127195360,0,0,0
98.129048480,0,0,1
98.130901600,0,0,0
98.132754720,0,0,1
98.134609280,0,0,0
98.136462240,0,0,1
98.138315200,0,0,0
98.140169600,0,0,1
98.142022720,0,0,0
98.143877120,0,0,1
98.145730400,0,0,0
98.147584640,0,0,1
98.149437920,0,0,0
98.151290880,0,0,1
98.153144000,0,0,0
98.154998400,0,0,1
98.156851520,0,0,0
98.158704640,0,0,1
98.160559360,0,0,0
98.162412320,0,0,1
98.164266720,0,0,0
98.166119840,0,0,1
98.167974400,0,0,0
98.169827520,0,0,1
98.171680640,0,0,0
98.173533760,0,0,1
98.175388160,0,0,0
98.177241280,0,0,1
98.179094400,0,0,0
98.180948800,0,0,1
98.182801920,0,0,0
98.184656320,0,0,1
98.186509440,0,0,0
98.188364000,0,0,1
98.190217120,0,0,0
98.192070080,0,0,1
98.193923200,0,0,0
98.195777600,0,0,1
98.197630720,0,0,0
98.199483840,0,0,1
98.201338400,0,0,0
98.203191360,0,0,1
98.205045920,0,0,0
98.206899040,0,0,1
98.208753440,0,0,0
98.210606560,0,0,1
98.212459840,0,0,0
98.214312960,0,0,1
98.216167520,0,0,0
98.218020640,0,0,1
98.219873920,0,0,0
98.221728320,0,0,1
98.223581600,0,0,0
98.225436000,0,0,1
98.227289280,0,0,0
98.229143840,0,0,1
98.230996960,0,0,0
98.232850240,0,0,1
98.234703360,0,0,0
98.236557760,0,0,1
98.238410880,0,0,0
98.240264000,0,0,1
98.242118560,0,0,0
98.243971680,0,0,1
98.245826240,0,0,0
98.247679200,0,0,1
98.249533600,0,0,0
98.251386720,0,0,1
98.253240000,0,0,0
98.255092960,0,0,1
98.256946240,0,0,0
98.258800480,0,0,1
98.260653440,0,0,0
98.262507840,0,0,1
98.264360960,0,0,0
98.266215360,0,0,1
98.268068640,0,0,0
98.269922880,0,0,1
98.271776160,0,0,0
98.273629120,0,0,1
98.275482400,0,0,0
98.277335680,0,0,1
98.279190240,0,0,0
98.281043360,0,0,1
98.282897760,0,0,0
98.284751040,0,0,1
98.286605280,0,0,0
98.288458400,0,0,1
98.290312960,0,0,0
98.292166240,0,0,1
98.294019200,0,0,0
98.295872480,0,0,1
98.297725600,0,0,0
98.299580000,0,0,1
98.301433120,0,0,0
98.303287520,0,0,1
98.305140800,0,0,0
98.306993920,0,0,1
98.308847200,0,0,0
98.310701600,0,0,1
98.312554720,0,0,0
98.314407840,0,0,1
98.316261120,0,0,0
98.318114400,0,0,1
98.319968800,0,0,0
98.321821920,0,0,1
98.323676480,0,0,0
98.325529600,0,0,1
98.327382720,0,0,0
98.329235840,0,0,1
98.331090240,0,0,0
98.332943520,0,0,1
98.334796640,0,0,0
98.336649920,0,0,1
98.338503200,0,0,0
98.340357600,0,0,1
98.342210720,0,0,0
98.344065280,0,0,1
98.345918400,0,0,0
98.347771520,0,0,1
98.349624640,0,0,0
98.351477760,0,0,1
98.353330880,0,0,0
98.355183680,0,0,1
98.357037120,0,0,0
98.358890240,0,0,1
98.360744640,0,0,0
98.362597760,0,0,1
98.364452320,0,0,0
98.366305440,0,0,1
98.368159840,0,0,0
98.370013120,0,0,1
98.371866400,0,0,0
98.373719520,0,0,1
98.375573920,0,0,0
98.377427040,0,0,1
98.379280160,0,0,0
98.381134400,0,0,1
98.382987520,0,0,0
98.384841760,0,0,1
98.386694880,0,0,0
98.388549120,0,0,1
98.390402240,0,0,0
98.392255360,0,0,1
98.394108480,0,0,0
98.395962720,0,0,1
98.397815680,0,0,0
98.399668800,0,0,1
98.401523200,0,0,0
98.403376320,0,0,1
98.405230720,0,0,0
98.407083840,0,0,1
98.408938240,0,0,0
98.410791360,0,0,1
98.412644480,0,0,0
98.414497600,0,0,1
98.415734080,0,0,0
98.415734240,0,0,1
98.415734400,0,0,0
105.036639360,0,1,0
105.038475840,0,0,0
105.040312480,0,1,0
105.042149120,0,0,0
105.043985600,0,1,0
105.045823360,0,0,0
105.047659840,0,1,0
105.049497920,0,0,0
105.051334400,0,1,0
105.053171040,0,0,0
105.055007680,0,1,0
105.056844320,0,0,0
105.058680800,0,1,0
105.060517600,0,0,0
105.062354080,0,1,0
105.064190720,0,0,0
105.066028640,0,1,0
105.067865440,0,0,0
105.069703040,0,1,0
105.071539680,0,0,0
105.073377440,0,1,0
105.075214080,0,0,0
105.077051840,0,1,0
105.078888480,0,0,0
105.080725280,0,1,0
105.082563200,0,0,0
105.084399840,0,1,0
105.086237600,0,0,0
105.088074080,0,1,0
105.089912000,0,0,0
105.089912160,0,1,0
105.089912320,0,0,0
105.091748640,0,1,0
105.093586560,0,0,0
105.093586720,0,1,0
