Time [s],Channel 2,Channel 3,Channel 15
0.000000000,0,0,0
29.406899200,0,0,1
29.408763840,0,0,0
29.410628320,0,0,1
29.412493120,0,0,0
29.414357600,0,0,1
29.416223520,0,0,0
29.418088160,0,0,1
29.419954080,0,0,0
29.421818560,0,0,1
29.423684480,0,0,0
29.425548960,0,0,1
29.427413600,0,0,0
29.429278240,0,0,1
29.431142880,0,0,0
29.433007520,0,0,1
29.434872160,0,0,0
29.436736800,0,0,1
29.438601440,0,0,0
29.440467360,0,0,1
29.442332000,0,0,0
29.444197760,0,0,1
29.446062240,0,0,0
29.447928160,0,0,1
29.449792640,0,0,0
29.451658400,0,0,1
29.453522880,0,0,0
29.455387360,0,0,1
29.457252000,0,0,0
29.459116480,0,0,1
29.460982400,0,0,0
29.462847040,0,0,1
29.464712800,0,0,0
29.466577440,0,0,1
29.468442080,0,0,0
29.470306720,0,0,1
29.472171360,0,0,0
29.474036000,0,0,1
29.475901920,0,0,0
29.477766560,0,0,1
29.479631200,0,0,0
29.481497120,0,0,1
29.483361600,0,0,0
29.485227360,0,0,1
29.487091840,0,0,0
29.488956320,0,0,1
29.490821120,0,0,0
29.492685600,0,0,1
29.494550240,0,0,0
29.496414880,0,0,1
29.498279360,0,0,0
29.500144000,0,0,1
29.502010080,0,0,0
29.503874720,0,0,1
29.505740800,0,0,0
29.507605440,0,0,1
29.509471520,0,0,0
29.511336000,0,0,1
29.513201760,0,0,0
29.515066400,0,0,1
29.516931040,0,0,0
29.518795680,0,0,1
29.520660320,0,0,0
29.522524960,0,0,1
29.524389600,0,0,0
29.526255360,0,0,1
29.528120000,0,0,0
29.529985920,0,0,1
29.531850720,0,0,0
29.533715200,0,0,1
29.535579840,0,0,0
29.537445760,0,0,1
29.539310400,0,0,0
29.541176160,0,0,1
29.543040640,0,0,0
29.544905120,0,0,1
29.546771040,0,0,0
29.548635520,0,0,1
29.550501440,0,0,0
29.552366080,0,0,1
29.554230560,0,0,0
29.556095200,0,0,1
29.557959840,0,0,0
29.559824480,0,0,1
29.561689120,0,0,0
29.563553760,0,0,1
29.565418240,0,0,0
29.567284160,0,0,1
29.569148800,0,0,0
29.571014560,0,0,1
29.572879040,0,0,0
29.574744960,0,0,1
29.576609440,0,0,0
29.578474080,0,0,1
29.580338880,0,0,0
29.582203360,0,0,1
29.584067840,0,0,0
29.585932320,0,0,1
29.587798080,0,0,0
29.589662560,0,0,1
29.591528480,0,0,0
29.593392960,0,0,1
29.595258720,0,0,0
29.597123200,0,0,1
29.598989120,0,0,0
29.600853600,0,0,1
29.602719360,0,0,0
29.604583840,0,0,1
29.606448480,0,0,0
29.608312960,0,0,1
29.610177600,0,0,0
29.612043360,0,0,1
29.613907840,0,0,0
29.615773600,0,0,1
29.617638080,0,0,0
29.619502560,0,0,1
29.621367200,0,0,0
29.623231520,0,0,1
29.625096000,0,0,0
29.626961760,0,0,1
29.628826400,0,0,0
29.630690880,0,0,1
29.632556320,0,0,0
29.634420640,0,0,1
29.636286560,0,0,0
29.638151040,0,0,1
29.640015520,0,0,0
29.641880000,0,0,1
29.643744320,0,0,0
29.645608800,0,0,1
29.647473120,0,0,0
