Time [s],Channel 2,Channel 13
0.000000000,0,0
40.290236000,1,0
40.290237000,0,0
40.290238000,1,0
40.290989000,0,0
40.290991000,1,0
40.290992000,0,0
40.290994000,1,0
40.290995000,0,0
40.374133000,1,0
40.376027000,0,0
40.377917000,1,0
40.379808000,0,0
40.379809000,1,0
40.379812000,0,0
40.381701000,1,0
40.383596000,0,0
40.385484000,1,0
40.387375000,0,0
40.387376000,1,0
40.387379000,0,0
40.389267000,1,0
40.391162000,0,0
40.393051000,1,0
40.394946000,0,0
40.396833000,1,0
40.398727000,0,0
40.400616000,1,0
40.402512000,0,0
40.404400000,1,0
40.406297000,0,0
40.408184000,1,0
40.410079000,0,0
40.411967000,1,0
40.413863000,0,0
40.415751000,1,0
40.417642000,0,0
40.417643000,1,0
40.417646000,0,0
40.419534000,1,0
40.421429000,0,0
40.423318000,1,0
40.425213000,0,0
40.427102000,1,0
40.428993000,0,0
40.428994000,1,0
40.428997000,0,0
40.430886000,1,0
40.432781000,0,0
40.434670000,1,0
40.436565000,0,0
40.438453000,1,0
40.440348000,0,0
40.442235000,1,0
40.444130000,0,0
40.446018000,1,0
40.447915000,0,0
40.449802000,1,0
40.451699000,0,0
40.453586000,1,0
40.455483000,0,0
40.457370000,1,0
40.459266000,0,0
40.461153000,1,0
40.463049000,0,0
40.464937000,1,0
40.466832000,0,0
40.468721000,1,0
40.470616000,0,0
40.472505000,1,0
40.474400000,0,0
40.476289000,1,0
40.478184000,0,0
40.480073000,1,0
40.481967000,0,0
40.483857000,1,0
40.485751000,0,0
40.487639000,1,0
40.489534000,0,0
40.491422000,1,0
40.493317000,0,0
40.495205000,1,0
40.497097000,0,0
40.497098000,1,0
40.497101000,0,0
40.498989000,1,0
40.500885000,0,0
40.502773000,1,0
40.504669000,0,0
40.506557000,1,0
40.508448000,0,0
40.508449000,1,0
40.508452000,0,0
40.510340000,1,0
40.512235000,0,0
40.514122000,1,0
40.516019000,0,0
40.517906000,1,0
40.519801000,0,0
40.521690000,1,0
40.523585000,0,0
40.525474000,1,0
40.527369000,0,0
40.529258000,1,0
40.531153000,0,0
40.533042000,1,0
40.534937000,0,0
40.536826000,1,0
40.538721000,0,0
40.540608000,1,0
40.542503000,0,0
40.544391000,1,0
40.546287000,0,0
40.548175000,1,0
40.550071000,0,0
40.551959000,1,0
40.553856000,0,0
40.555744000,1,0
40.557638000,0,0
40.559526000,1,0
40.561421000,0,0
40.563309000,1,0
40.565205000,0,0
40.567093000,1,0
40.568988000,0,0
40.570877000,1,0
40.572772000,0,0
40.574661000,1,0
40.576556000,0,0
40.578446000,1,0
40.580340000,0,0
40.582228000,1,0
40.584124000,0,0
40.586012000,1,0
40.587903000,0,0
40.587904000,1,0
40.587907000,0,0
40.589795000,1,0
40.591686000,0,0
40.591687000,1,0
40.591690000,0,0
40.593578000,1,0
40.595474000,0,0
40.597362000,1,0
40.599259000,0,0
40.601146000,1,0
40.603038000,0,0
40.603039000,1,0
40.603042000,0,0
40.604930000,1,0
40.606826000,0,0
40.608714000,1,0
40.610609000,0,0
40.612496000,1,0
40.614392000,0,0
40.616280000,1,0
40.618175000,0,0
40.620064000,1,0
40.621959000,0,0
40.623849000,1,0
40.625743000,0,0
40.627633000,1,0
40.629527000,0,0
40.631415000,1,0
40.633310000,0,0
40.635199000,1,0
40.637094000,0,0
40.638982000,1,0
40.640877000,0,0
40.642765000,1,0
