Time [s],Channel 3,Channel 15
0.000000000,0,0
36.190444160,1,0
36.192290560,0,0
36.192290720,1,0
36.192290880,0,0
36.194138240,1,0
36.195984960,0,0
36.197831360,1,0
36.199678080,0,0
36.201524320,1,0
36.203372480,0,0
36.205218720,1,0
36.207066560,0,0
36.208912960,1,0
36.210759520,0,0
36.212606080,1,0
36.214453760,0,0
36.216300320,1,0
36.218147200,0,0
36.219994720,1,0
36.221841280,0,0
36.223689120,1,0
36.225535840,0,0
36.227382240,1,0
36.229228800,0,0
36.231075680,1,0
36.232922560,0,0
36.234768800,1,0
36.236615360,0,0
36.238461920,1,0
36.240309760,0,0
36.242156320,1,0
36.244004000,0,0
36.245850560,1,0
36.247697120,0,0
36.249543680,1,0
36.251391520,0,0
36.253237920,1,0
36.255084480,0,0
36.256932480,1,0
36.258778880,0,0
36.260626880,1,0
36.262473280,0,0
36.264319840,1,0
36.266166400,0,0
36.268012960,1,0
36.269859680,0,0
36.271707520,1,0
36.273554080,0,0
36.275400640,1,0
36.277248480,0,0
36.279094880,1,0
36.280942720,0,0
36.280942880,1,0
36.280943040,0,0
36.282789120,1,0
36.284635680,0,0
36.286482080,1,0
36.288329920,0,0
36.290176160,1,0
36.292022720,0,0
36.293870560,1,0
36.295717120,0,0
36.297564960,1,0
36.299411360,0,0
36.301259200,1,0
36.303105760,0,0
36.304952160,1,0
36.306798720,0,0
36.308646400,1,0
36.310493120,0,0
36.312339520,1,0
36.314187360,0,0
36.316033760,1,0
36.317881280,0,0
36.317881440,1,0
36.317881600,0,0
36.319727680,1,0
36.321575200,0,0
36.323421600,1,0
36.325268000,0,0
36.325268160,1,0
36.325268320,0,0
36.327114400,1,0
36.328961120,0,0
36.330808640,1,0
36.332655360,0,0
36.334502880,1,0
36.336349280,0,0
36.338196800,1,0
36.340043360,0,0
36.340043520,1,0
36.340043680,0,0
36.341889760,1,0
36.343736480,0,0
36.345582720,1,0
36.347429280,0,0
36.349275680,1,0
36.351123520,0,0
36.352969920,1,0
36.354817760,0,0
36.356664160,1,0
36.358512160,0,0
36.360358560,1,0
36.362205120,0,0
36.364051680,1,0
36.365898080,0,0
36.367745920,1,0
36.369592480,0,0
36.369592640,1,0
36.369592800,0,0
36.371440320,1,0
36.373287200,0,0
36.375133760,1,0
36.376980320,0,0
36.378828320,1,0
36.380675040,0,0
36.382521600,1,0
36.384368160,0,0
36.386214720,1,0
36.388062720,0,0
36.389909440,1,0
36.391757280,0,0
36.393604000,1,0
36.395451840,0,0
36.397298400,1,0
36.399145120,0,0
36.400991520,1,0
36.402838080,0,0
36.404685920,1,0
36.406532640,0,0
36.408380160,1,0
36.410227040,0,0
36.412073440,1,0
36.413920000,0,0
36.415768000,1,0
36.417614400,0,0
36.419460960,1,0
36.421307520,0,0
36.423154080,1,0
36.425002080,0,0
36.426848640,1,0
36.428696480,0,0
36.430543040,1,0
36.432389760,0,0
36.434236160,1,0
36.436084000,0,0
36.437930720,1,0
36.439777280,0,0
36.441625280,1,0
36.443471840,0,0
36.445319840,1,0
36.447166400,0,0
36.449012960,1,0
36.450859520,0,0
36.452707200,1,0
36.454553760,0,0
36.456400160,1,0
36.458246720,0,0
36.460093280,1,0
36.461941280,0,0
36.463787680,1,0
36.465635520,0,0
36.465635680,1,0
36.465635840,0,0
36.467481920,1,0
36.469328480,0,0
36.469328640,1,0
36.469328800,0,0
36.471174880,1,0
36.473022880,0,0
36.474869280,1,0
36.476715680,0,0
36.478563360,1,0
36.480409760,0,0
