Time [s],Channel 3,Channel 15
0.000000000,0,0
8.373590560,0,1
8.375418240,0,0
8.377247040,0,1
8.379074720,0,0
8.380902560,0,1
8.382731520,0,0
8.384559360,0,1
8.386388480,0,0
8.388216160,0,1
8.390043840,0,0
8.391871360,0,1
8.393699200,0,0
8.395526720,0,1
8.397354400,0,0
8.399183360,0,1
8.401011200,0,0
8.402840320,0,1
8.404668000,0,0
8.406497120,0,1
8.408324800,0,0
8.410152320,0,1
8.411980000,0,0
8.413807680,0,1
8.415636640,0,0
8.417464320,0,1
8.419293280,0,0
8.421121120,0,1
8.422949920,0,0
8.424777600,0,1
8.426606720,0,0
8.428434400,0,1
8.430263360,0,0
8.432091040,0,1
8.433918720,0,0
8.435747680,0,1
8.437575520,0,0
8.439404480,0,1
8.441232320,0,0
8.443060000,0,1
8.444887840,0,0
8.446715520,0,1
8.448543360,0,0
8.450370880,0,1
8.452199840,0,0
8.454027520,0,1
8.455856640,0,0
8.457684320,0,1
8.459512000,0,0
8.461339680,0,1
8.463167520,0,0
8.464995040,0,1
8.466822720,0,0
8.468651840,0,1
8.470479520,0,0
8.472308480,0,1
8.474136160,0,0
8.475964960,0,1
8.477792640,0,0
8.479621600,0,1
8.481449280,0,0
8.483278240,0,1
8.485105920,0,0
8.486933600,0,1
8.488762400,0,0
8.490590080,0,1
8.492417760,0,0
8.494245280,0,1
8.496072960,0,0
8.497900480,0,1
8.499728960,0,0
8.501556640,0,1
8.503384320,0,0
8.505213280,0,1
8.507040960,0,0
8.508869760,0,1
8.510697440,0,0
8.512525120,0,1
8.514352960,0,0
8.516180640,0,1
8.518008320,0,0
8.519836000,0,1
8.521665120,0,0
8.523492640,0,1
8.525321600,0,0
8.527149120,0,1
8.528978080,0,0
8.530805600,0,1
8.532634720,0,0
8.534462080,0,1
8.536289760,0,0
8.538118720,0,1
8.539946560,0,0
8.541775360,0,1
8.543603040,0,0
8.545430560,0,1
8.547258240,0,0
8.549087040,0,1
8.550914720,0,0
8.552743520,0,1
8.554571200,0,0
8.556398720,0,1
8.558227680,0,0
8.560055200,0,1
8.561882880,0,0
8.563710400,0,1
8.565537920,0,0
8.567365600,0,1
8.569193280,0,0
8.571020960,0,1
8.572848640,0,0
8.574677600,0,1
8.576504960,0,0
8.578333920,0,1
8.580161600,0,0
8.581988960,0,1
8.583816640,0,0
8.585644160,0,1
8.587471680,0,0
8.589299360,0,1
8.591128320,0,0
8.592955840,0,1
8.594784800,0,0
8.596612480,0,1
8.598441280,0,0
8.600268960,0,1
8.602097920,0,0
8.603925600,0,1
8.605753280,0,0
8.607582080,0,1
8.609409760,0,0
8.611238880,0,1
8.613066560,0,0
8.614894080,0,1
8.616721760,0,0
8.618549440,0,1
8.620377120,0,0
8.622204480,0,1
8.624032320,0,0
8.625859840,0,1
8.627688960,0,0
8.629516480,0,1
8.631344160,0,0
8.633171840,0,1
8.634999520,0,0
8.636827040,0,1
8.638654880,0,0
8.640482400,0,1
8.642309920,0,0
8.644138880,0,1
8.645966560,0,0
8.647795520,0,1
8.649623200,0,0
8.651452160,0,1
8.653279840,0,0
8.655108640,0,1
8.656936320,0,0
8.658764000,0,1
8.660592800,0,0
8.662420480,0,1
8.664249280,0,0
8.666076960,0,1
8.667904640,0,0
8.669732160,0,1
8.671560960,0,0
8.673388640,0,1
8.675216160,0,0
8.677044960,0,1
8.678872640,0,0
8.680701280,0,1
8.682528960,0,0
8.684356480,0,1
8.686184000,0,0
8.688011520,0,1
8.689839040,0,0
8.691666720,0,1
8.693494240,0,0
8.695321920,0,1
8.697150720,0,0
8.698978240,0,1
8.700805760,0,0
8.702633280,0,1
8.704460800,0,0
8.706288320,0,1
8.708116000,0,0
8.709943520,0,1
8.711771200,0,0
8.713600000,0,1
8.715427520,0,0
8.717256320,0,1
8.719084160,0,0
23.943857600,1,0
23.945700000,0,0
23.947543040,1,0
23.949385440,0,0
23.951227680,1,0
23.953070080,0,0
23.953070240,1,0
23.953070400,0,0
23.954912480,1,0
23.956756320,0,0
23.958598720,1,0
23.960442400,0,0
23.962284640,1,0
23.964127040,0,0
23.965969280,1,0
23.967811840,0,0
23.969654080,1,0
23.971496480,0,0
23.973340160,1,0
23.975182720,0,0
23.977026400,1,0
23.978868960,0,0
23.980711200,1,0
23.982553600,0,0
23.984397120,1,0
23.986239520,0,0
23.988081920,1,0
23.989925600,0,0
23.991768000,1,0
23.993611520,0,0
23.995453920,1,0
23.997297440,0,0
23.999139680,1,0
